"","Human_45_hsa","Human_47_hsa"
"hsa-miR-486-5p",75909,125577
"hsa-miR-423-5p",14336,30497
"hsa-miR-92a-3p",7463,27180
"hsa-miR-10b-5p",8841,11848
"hsa-miR-126-5p",4175,4932
"hsa-miR-10a-5p",4488,3494
"hsa-miR-181a-5p",1401,5802
"hsa-miR-26a-5p",3149,3706
"hsa-miR-103a-3p",1020,5660
"hsa-miR-22-3p",2137,3629
"hsa-miR-27b-3p",1364,2678
"hsa-let-7f-5p",905,3017
"hsa-miR-107",473,2830
"hsa-miR-21-5p",988,1983
"hsa-miR-191-5p",1554,1082
"hsa-let-7a-5p",602,1895
"hsa-miR-320a-3p",476,1925
"hsa-miR-142-5p",1166,1140
"hsa-miR-584-5p",517,1705
"hsa-miR-150-5p",1080,1016
"hsa-miR-25-3p",539,1392
"hsa-miR-16-5p",470,1070
"hsa-miR-451a",695,787
"hsa-miR-148a-3p",505,882
"hsa-let-7i-5p",208,1046
"hsa-miR-30a-5p",317,913
"hsa-miR-126-3p",495,717
"hsa-miR-192-5p",489,661
"hsa-miR-101-3p",251,773
"hsa-miR-15a-5p",326,693
"hsa-miR-30d-5p",432,554
"hsa-miR-130a-3p",239,693
"hsa-miR-146a-5p",316,468
"hsa-miR-28-3p",205,498
"hsa-miR-151a-3p",238,426
"hsa-miR-92b-3p",254,409
"hsa-miR-320b",166,486
"hsa-miR-27a-3p",302,301
"hsa-miR-26b-5p",161,399
"hsa-let-7b-5p",214,340
"hsa-miR-484",282,249
"hsa-let-7d-3p",319,207
"hsa-miR-199a-3p",227,297
"hsa-miR-423-3p",189,248
"hsa-miR-143-3p",123,314
"hsa-let-7g-5p",65,286
"hsa-miR-378a-3p",98,248
"hsa-miR-221-3p",128,214
"hsa-miR-181b-5p",74,261
"hsa-miR-410-3p",93,235
"hsa-miR-199b-3p",103,192
"hsa-miR-30e-5p",128,160
"hsa-miR-125a-5p",155,129
"hsa-miR-186-5p",140,137
"hsa-miR-99b-5p",187,78
"hsa-miR-130b-3p",55,196
"hsa-miR-128-3p",87,147
"hsa-miR-335-5p",114,96
"hsa-miR-23a-3p",96,111
"hsa-miR-182-5p",36,157
"hsa-miR-30c-5p",99,93
"hsa-miR-146b-5p",89,88
"hsa-miR-375-3p",35,141
"hsa-miR-363-3p",78,75
"hsa-miR-148b-3p",81,68
"hsa-miR-151a-5p",77,68
"hsa-miR-222-3p",68,71
"hsa-miR-652-3p",35,99
"hsa-let-7d-5p",13,117
"hsa-miR-223-3p",70,56
"hsa-miR-744-5p",29,94
"hsa-miR-323b-3p",56,66
"hsa-miR-144-3p",55,67
"hsa-miR-342-3p",64,57
"hsa-miR-93-5p",34,85
"hsa-miR-29a-3p",52,66
"hsa-miR-24-3p",62,55
"hsa-miR-127-3p",70,44
"hsa-let-7e-5p",18,96
"hsa-miR-342-5p",33,76
"hsa-miR-140-3p",21,86
"hsa-miR-340-5p",43,56
"hsa-miR-23b-3p",51,48
"hsa-miR-877-5p",18,76
"hsa-miR-16-2-3p",32,53
"hsa-miR-100-5p",34,43
"hsa-miR-208a-3p",36,37
"hsa-miR-181c-5p",34,39
"hsa-miR-215-5p",22,48
"hsa-let-7c-5p",15,52
"hsa-miR-409-3p",20,43
"hsa-miR-1307-5p",20,42
"hsa-miR-99a-5p",35,25
"hsa-miR-339-3p",29,31
"hsa-miR-589-5p",27,33
"hsa-miR-660-5p",9,49
"hsa-miR-421",25,32
"hsa-miR-425-5p",21,34
"hsa-miR-361-5p",30,22
"hsa-miR-122-5p",6,45
"hsa-miR-30b-5p",8,43
"hsa-miR-889-3p",20,30
"hsa-miR-32-5p",11,39
"hsa-miR-3615",11,38
"hsa-miR-654-3p",30,18
"hsa-miR-144-5p",20,28
"hsa-miR-486-3p",10,38
"hsa-miR-29c-3p",15,32
"hsa-miR-345-5p",17,27
"hsa-miR-106b-3p",5,39
"hsa-miR-181a-2-3p",3,40
"hsa-miR-532-5p",5,38
"hsa-miR-30a-3p",11,31
"hsa-miR-30e-3p",7,34
"hsa-miR-106b-5p",18,20
"hsa-miR-139-5p",20,15
"hsa-miR-4433b-5p",24,11
"hsa-miR-155-5p",9,26
"hsa-miR-142-3p",16,18
"hsa-miR-1843",8,25
"hsa-miR-181a-3p",0,33
"hsa-miR-205-5p",11,22
"hsa-miR-1307-3p",18,15
"hsa-miR-424-3p",18,15
"hsa-miR-4446-3p",20,10
"hsa-miR-151b",16,11
"hsa-miR-98-5p",4,23
"hsa-miR-19b-3p",15,10
"hsa-miR-328-3p",9,15
"hsa-miR-193b-5p",6,17
"hsa-miR-431-5p",4,18
"hsa-miR-323a-3p",16,6
"hsa-miR-369-3p",3,19
"hsa-miR-125b-2-3p",9,13
"hsa-miR-199a-5p",14,7
"hsa-miR-873-5p",15,6
"hsa-miR-1304-3p",9,11
"hsa-miR-20a-5p",14,6
"hsa-miR-152-3p",17,3
"hsa-miR-150-3p",2,18
"hsa-miR-411-5p",2,17
"hsa-miR-301a-3p",5,14
"hsa-miR-769-5p",6,13
"hsa-miR-574-3p",7,12
"hsa-miR-204-5p",7,12
"hsa-miR-21-3p",0,18
"hsa-miR-338-3p",4,14
"hsa-miR-26b-3p",15,3
"hsa-miR-197-3p",15,2
"hsa-miR-629-5p",7,10
"hsa-miR-148a-5p",0,16
"hsa-miR-320c",0,15
"hsa-miR-4433b-3p",0,15
"hsa-miR-141-3p",11,3
"hsa-miR-381-3p",7,7
"hsa-miR-1180-3p",2,12
"hsa-miR-1468-5p",5,9
"hsa-miR-433-3p",3,10
"hsa-miR-432-5p",0,13
"hsa-miR-134-5p",0,13
"hsa-miR-5189-5p",9,4
"hsa-miR-10a-3p",10,3
"hsa-miR-361-3p",8,5
"hsa-miR-1260b",3,9
"hsa-miR-132-3p",7,5
"hsa-miR-194-5p",6,5
"hsa-miR-129-5p",0,11
"hsa-let-7i-3p",0,11
"hsa-miR-203a-3p",6,5
"hsa-miR-195-5p",8,3
"hsa-miR-125a-3p",0,11
"hsa-let-7b-3p",6,5
"hsa-miR-3605-5p",3,7
"hsa-miR-4482-3p",0,10
"hsa-miR-483-3p",10,0
"hsa-miR-1260a",3,7
"hsa-miR-15b-5p",5,5
"hsa-miR-96-5p",10,0
"hsa-miR-766-5p",0,10
"hsa-miR-320d",6,3
"hsa-miR-627-5p",3,6
"hsa-miR-6511b-3p",9,0
"hsa-miR-941",5,4
"hsa-miR-589-3p",7,2
"hsa-miR-374a-3p",8,1
"hsa-miR-378c",3,5
"hsa-miR-628-3p",0,8
"hsa-miR-6529-5p",0,8
"hsa-miR-28-5p",0,8
"hsa-miR-6509-5p",0,8
"hsa-miR-30d-3p",0,8
"hsa-miR-3120-3p",6,1
"hsa-miR-483-5p",4,3
"hsa-miR-326",0,7
"hsa-miR-10527-5p",4,3
"hsa-miR-331-5p",0,7
"hsa-miR-136-3p",0,7
"hsa-miR-497-5p",5,2
"hsa-miR-6866-5p",0,7
"hsa-miR-454-3p",3,4
"hsa-miR-3127-5p",7,0
"hsa-miR-10399-5p",0,7
"hsa-miR-27b-5p",7,0
"hsa-miR-450b-5p",1,6
"hsa-miR-3605-3p",0,6
"hsa-miR-543",3,3
"hsa-miR-4511",0,6
"hsa-miR-3177-3p",0,6
"hsa-miR-324-3p",0,6
"hsa-miR-4732-5p",4,2
"hsa-miR-122-3p",6,0
"hsa-miR-181d-5p",2,4
"hsa-miR-15b-3p",0,6
"hsa-miR-340-3p",4,2
"hsa-miR-30c-2-3p",0,6
"hsa-miR-335-3p",6,0
"hsa-miR-3150b-3p",0,6
"hsa-miR-873-3p",0,6
"hsa-miR-221-5p",4,2
"hsa-miR-98-3p",0,6
"hsa-miR-505-3p",2,4
"hsa-miR-17-5p",0,5
"hsa-miR-19a-3p",3,2
"hsa-miR-127-5p",0,5
"hsa-miR-133a-3p",0,5
"hsa-miR-99b-3p",0,5
"hsa-miR-512-3p",0,5
"hsa-miR-128-1-5p",0,5
"hsa-miR-218-1-3p",0,5
"hsa-miR-5683",2,3
"hsa-miR-183-5p",2,3
"hsa-miR-10399-3p",0,5
"hsa-miR-500a-3p",1,4
"hsa-miR-34a-5p",0,4
"hsa-miR-101-5p",0,4
"hsa-miR-4677-3p",0,4
"hsa-miR-1287-5p",4,0
"hsa-miR-548k",0,4
"hsa-miR-18a-3p",0,4
"hsa-miR-1197",0,4
"hsa-miR-324-5p",0,4
"hsa-miR-4732-3p",3,1
"hsa-miR-330-3p",0,4
"hsa-miR-2355-3p",4,0
"hsa-miR-1306-5p",4,0
"hsa-miR-301b-3p",0,4
"hsa-miR-425-3p",0,4
"hsa-miR-3688-3p",4,0
"hsa-miR-874-5p",4,0
"hsa-miR-145-5p",0,4
"hsa-miR-671-3p",0,4
"hsa-miR-455-5p",4,0
"hsa-miR-223-5p",0,4
"hsa-miR-452-5p",0,4
"hsa-miR-664a-3p",0,3
"hsa-miR-196a-5p",0,3
"hsa-miR-3614-5p",0,3
"hsa-miR-4999-5p",0,3
"hsa-miR-6795-5p",3,0
"hsa-miR-330-5p",0,3
"hsa-miR-2355-5p",0,3
"hsa-miR-499a-5p",3,0
"hsa-miR-191-3p",0,3
"hsa-miR-5588-5p",0,3
"hsa-miR-6499-5p",0,3
"hsa-miR-4662a-5p",3,0
"hsa-miR-548ax",0,3
"hsa-miR-532-3p",0,3
"hsa-miR-502-3p",3,0
"hsa-miR-6769b-3p",0,2
"hsa-miR-3620-3p",0,2
"hsa-miR-210-3p",0,2
"hsa-miR-125b-5p",1,1
"hsa-miR-17-3p",0,2
"hsa-miR-323a-5p",0,2
"hsa-miR-494-3p",2,0
"hsa-miR-376a-3p",0,2
"hsa-miR-1247-5p",0,2
"hsa-miR-195-3p",0,2
"hsa-miR-4521",0,2
"hsa-miR-5010-3p",2,0
"hsa-miR-454-5p",0,2
"hsa-miR-515-5p",0,2
"hsa-miR-296-3p",0,2
"hsa-miR-548j-5p",0,2
"hsa-miR-378i",0,2
"hsa-miR-576-5p",0,2
"hsa-miR-7849-3p",0,2
"hsa-miR-874-3p",0,2
"hsa-miR-145-3p",2,0
"hsa-miR-25-5p",0,2
"hsa-miR-11400",2,0
"hsa-miR-6852-5p",0,2
"hsa-miR-651-5p",0,2
"hsa-miR-374a-5p",0,2
"hsa-miR-424-5p",0,2
"hsa-miR-224-3p",0,2
"hsa-miR-378f",0,1
"hsa-miR-6735-5p",0,1
"hsa-miR-664a-5p",0,1
"hsa-miR-4742-3p",0,1
"hsa-miR-548e-5p",0,1
"hsa-miR-625-3p",0,1
"hsa-miR-493-5p",0,1
"hsa-miR-329-5p",0,1
"hsa-miR-487b-3p",1,0
"hsa-miR-6511a-3p",0,1
"hsa-miR-1273h-3p",1,0
"hsa-miR-6867-5p",0,1
"hsa-miR-181c-3p",0,1
"hsa-miR-1323",0,1
"hsa-miR-558",1,0
"hsa-miR-10b-3p",0,1
"hsa-miR-185-5p",0,1
"hsa-miR-7977",0,1
"hsa-miR-574-5p",0,1
"hsa-miR-196b-5p",0,1
"hsa-miR-6875-5p",1,0
"hsa-miR-598-3p",0,1
"hsa-miR-3074-5p",1,0
"hsa-miR-9985",0,1
